full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2110 O STREET NW,2110 O STREET NW,395910.57,137832.22,38.90834083,-77.04714925,Ward 2,5500,20037,226143,,100,DC Address,
1312 21ST STREET NW,1312 21ST STREET NW,395929.22,137764.93,38.90773474,-77.04693383,Ward 2,5500,20036,226550,,100,DC Address,
2115 N STREET NW,2115 N STREET NW,395877.21,137730.61,38.90742534,-77.04753327,Ward 2,5500,20037,226138,,100,DC Address,
2145 N STREET NW,2145 N STREET NW,395796.07,137728.65,38.90740729,-77.04846875,Ward 2,5500,20037,242729,,100,DC Address,
2142 O STREET NW,2142 O STREET NW,395822.45,137831.71,38.90833582,-77.04816523,Ward 2,5500,20037,242457,,100,DC Address,
1260 21ST STREET NW,1260 21ST STREET NW,395935.74,137650.96,38.90670809,-77.04685798,Ward 2,5500,20036,226651,,100,DC Address,
1111 25TH STREET NW,1111 25TH STREET NW,395400.07,137437.41,38.90478172,-77.05303244,Ward 2,5500,20037,274879,,100,DC Address,
1001 26TH STREET NW,1001 26TH STREET NW,395272.44,137233.45,38.9029437,-77.05450248,Ward 2,5600,20037,274890,,100,DC Address,
1230 23RD STREET NW,1230 23RD STREET NW,395621.04,137575.13,38.90602348,-77.05048576,Ward 2,5500,20037,226428,,100,DC Address,
1414 22ND STREET NW,1414 22ND STREET NW,395740.31,137887.77,38.90884043,-77.04911262,Ward 2,5500,20037,225491,,100,DC Address,
1824 19TH STREET NW,1824 19TH STREET NW,396209.47,138577.25,38.91505365,-77.04370719,Ward 2,4202,20009,226476,,100,DC Address,
1907 S STREET NW,1907 S STREET NW,396197.78,138493.53,38.91429942,-77.04384152,Ward 2,4202,20009,226454,,100,DC Address,
1318 22ND STREET NW,1318 22ND STREET NW,395743.8,137777.72,38.90784908,-77.0490717,Ward 2,5500,20037,225443,,100,DC Address,
2201 L STREET NW,2201 L STREET NW,395724.92,137346.37,38.90396324,-77.04928669,Ward 2,5500,20037,226257,,100,DC Address,
2114 N STREET NW,2114 N STREET NW,395882.1,137683.32,38.90699935,-77.04747661,Ward 2,5500,20037,226165,,100,DC Address,
1933 S STREET NW,1933 S STREET NW,396124.08,138493.5,38.91429883,-77.04469131,Ward 2,4202,20009,226588,,100,DC Address,
1816 19TH STREET NW,1816 19TH STREET NW,396209.06,138542.84,38.91474367,-77.04371172,Ward 2,4202,20009,240989,,100,DC Address,
1725 20TH STREET NW,1725 20TH STREET NW,396130.99,138389.84,38.91336506,-77.04461105,Ward 2,4202,20009,238091,,100,DC Address,
1704 19TH STREET NW,1704 19TH STREET NW,396205.2,138335.03,38.91287163,-77.04375508,Ward 2,4202,20009,238073,,100,DC Address,
1010 25TH STREET NW,1010 25TH STREET NW,395351.28,137250.23,38.90309528,-77.05359367,Ward 2,5600,20037,274889,,100,DC Address,
1140 23RD STREET NW,1140 23RD STREET NW,395627.82,137427.04,38.90468947,-77.05040665,Ward 2,5500,20037,226400,,100,DC Address,
1622 19TH STREET NW,1622 19TH STREET NW,396207.5,138221.75,38.91185118,-77.04372794,Ward 2,4202,20009,241030,,100,DC Address,
900 24TH STREET NW,900 24TH STREET NW,395522.3,137042.38,38.90122378,-77.05162068,Ward 2,5600,20037,274739,,100,DC Address,
2141 P STREET NW,2141 P STREET NW,395840.59,138015.06,38.90998759,-77.0479572,Ward 2,5500,20037,226048,,100,DC Address,
1511 22ND STREET NW,1511 22ND STREET NW,395787.43,138030.1,38.91012282,-77.04857021,Ward 2,5500,20037,226204,,100,DC Address,
1514 21ST STREET NW,1514 21ST STREET NW,395930,138038.95,38.91020321,-77.04692646,Ward 2,5500,20036,226217,,100,DC Address,
1416 21ST STREET NW,1416 21ST STREET NW,395933.55,137926.54,38.9091906,-77.04688486,Ward 2,5500,20036,226671,,100,DC Address,
2109 O STREET NW,2109 O STREET NW,395912.69,137877.02,38.90874441,-77.04712508,Ward 2,5500,20037,226119,,100,DC Address,
2109 1/2 O STREET NW,2109 1/2 O STREET NW,395907.24,137876.48,38.90873952,-77.04718791,Ward 2,5500,20037,285664,,100,DC Address,
2111 O STREET NW,2111 O STREET NW,395902.24,137876.53,38.90873995,-77.04724556,Ward 2,5500,20037,226167,,100,DC Address,
2113 O STREET NW,2113 O STREET NW,395888.37,137876.5,38.90873961,-77.04740547,Ward 2,5500,20037,226164,,100,DC Address,
2113 1/2 O STREET NW,2113 1/2 O STREET NW,395882.39,137876.37,38.90873842,-77.04747442,Ward 2,5500,20037,285666,,100,DC Address,
2115 O STREET NW,2115 O STREET NW,395877.5,137876.59,38.90874037,-77.0475308,Ward 2,5500,20037,226139,,100,DC Address,
2115 1/2 O STREET NW,2115 1/2 O STREET NW,395871.79,137876.48,38.90873936,-77.04759663,Ward 2,5500,20037,285667,,100,DC Address,
1099 22ND STREET NW,1099 22ND STREET NW,395786.32,137278.64,38.9033534,-77.0485784,Ward 2,10700,20037,226519,,100,DC Address,
1735 U STREET NW,1735 U STREET NW,396556.13,138815.59,38.91720212,-77.03971117,Ward 1,4201,20009,241352,,100,DC Address,
1717 T STREET NW,1717 T STREET NW,396593.35,138658.72,38.91578913,-77.03928121,Ward 2,4201,20009,238100,,100,DC Address,
1731 T STREET NW,1731 T STREET NW,396547.28,138661.62,38.91581508,-77.03981245,Ward 2,4201,20009,238015,,100,DC Address,
1803 T STREET NW,1803 T STREET NW,396362.09,138668.41,38.9158755,-77.04194786,Ward 2,4202,20009,226574,,100,DC Address,
1918 18TH STREET NW,1918 18TH STREET NW,396360.9,138706.25,38.91621637,-77.04196179,Ward 2,4202,20009,226433,,100,DC Address,
1930 18TH STREET NW,1930 18TH STREET NW,396358.44,138728.46,38.91641643,-77.04199027,Ward 2,4202,20009,226561,,100,DC Address,
1822 T STREET NW,1822 T STREET NW,396306.12,138608.59,38.91533638,-77.04259292,Ward 2,4202,20009,226481,,100,DC Address,
2117 O STREET NW,2117 O STREET NW,395866.98,137876.79,38.90874213,-77.04765209,Ward 2,5500,20037,226142,,100,DC Address,
1408 21ST STREET NW,1408 21ST STREET NW,395934.07,137903.98,38.90898738,-77.04687873,Ward 2,5500,20036,226624,,100,DC Address,
1736 18TH STREET NW,1736 18TH STREET NW,396358.28,138418.7,38.91362601,-77.04199047,Ward 2,4202,20009,238022,,100,DC Address,
1816 S STREET NW,1816 S STREET NW,396323.81,138448.61,38.9138953,-77.04238809,Ward 2,4202,20009,226363,,100,DC Address,
1806 RIGGS PLACE NW,1806 RIGGS PLACE NW,396353.1,138378.51,38.91326394,-77.04204999,Ward 2,4202,20009,226589,,100,DC Address,
1740 18TH STREET NW,1740 18TH STREET NW,396356.37,138433.69,38.91376104,-77.04201258,Ward 2,4202,20009,241216,,100,DC Address,
1817 RIGGS PLACE NW,1817 RIGGS PLACE NW,396317.63,138406.55,38.91351639,-77.04245912,Ward 2,4202,20009,241193,,100,DC Address,
2425 L STREET NW,2425 L STREET NW,395458.98,137377.1,38.90423873,-77.05235287,Ward 2,5500,20037,300365,,100,DC Address,
1900 S STREET NW,1900 S STREET NW,396203.85,138451.76,38.91392317,-77.04377129,Ward 2,4202,20009,226360,,100,DC Address,
1920 S STREET NW,1920 S STREET NW,396133.33,138452.32,38.91392791,-77.04458442,Ward 2,4202,20009,226426,,100,DC Address,
1736 19TH STREET NW,1736 19TH STREET NW,396205.12,138435.5,38.9137767,-77.04375656,Ward 2,4202,20009,238157,,100,DC Address,
1121 24TH STREET NW,1121 24TH STREET NW,395572.21,137395.94,38.90440903,-77.05104757,Ward 2,5500,20037,218011,,100,DC Address,
1737 CONNECTICUT AVENUE NW,1737 CONNECTICUT AVENUE NW,396064.75,138421.34,38.91364853,-77.045375,Ward 2,4202,20009,242739,,100,DC Address,
1721 21ST STREET NW,1721 21ST STREET NW,395977.42,138379.73,38.91327329,-77.04638171,Ward 2,5500,20009,238106,,100,DC Address,
1611 21ST STREET NW,1611 21ST STREET NW,395972.11,138205.49,38.91170366,-77.04644191,Ward 2,5500,20009,226137,,100,DC Address,
2031 Q STREET NW,2031 Q STREET NW,395991.21,138166.58,38.91135323,-77.04622146,Ward 2,5500,20009,242630,,100,DC Address,
1830 JEFFERSON PLACE NW,1830 JEFFERSON PLACE NW,396277.21,137605.9,38.90630369,-77.04292084,Ward 2,10700,20036,241278,,100,DC Address,
1751 U STREET NW,1751 U STREET NW,396514.58,138815.67,38.91720268,-77.04019029,Ward 1,4201,20009,238028,,100,DC Address,
1700 V STREET NW,1700 V STREET NW,396641.03,138900.78,38.91796987,-77.03873261,Ward 1,4201,20009,238146,,100,DC Address,
1715 U STREET NW,1715 U STREET NW,396608.3,138815.46,38.91720116,-77.0391096,Ward 1,4201,20009,238075,,100,DC Address,
1767 U STREET NW,1767 U STREET NW,396470.88,138812.99,38.91717836,-77.04069418,Ward 1,4201,20009,241367,,100,DC Address,
2519 I STREET NW,2519 I STREET NW,395299.67,137006.01,38.90089499,-77.05418699,Ward 2,5600,20037,259697,,100,DC Address,
903 HUGHES MEWS NW,903 HUGHES MEWS NW,395296.84,137010.42,38.9009347,-77.05421965,Ward 2,5600,20037,304036,,100,DC Address,
955 26TH STREET NW,955 26TH STREET NW,395278.79,137153.68,38.90222514,-77.05442872,Ward 2,5600,20037,274742,,100,DC Address,
3 WASHINGTON CIRCLE NW,3 WASHINGTON CIRCLE NW,395617.05,137261.09,38.90319448,-77.05052976,Ward 2,5500,20037,226081,,100,DC Address,
1280 21ST STREET NW,1280 21ST STREET NW,395934.27,137687.77,38.90703968,-77.04687515,Ward 2,5500,20036,226628,,100,DC Address,
1177 22ND STREET NW,1177 22ND STREET NW,395786.4,137423.52,38.90465853,-77.04857837,Ward 2,5500,20037,303055,,100,DC Address,
